Id;From-User;To-User;Text
1659148064685457408;bil;adoredle;@adoredle Sopipey lebih mahal ga sie dor. Aku seringnya pake grab wkwkw. Tapi diskon sopipey suka Gede sih
1659139795514458113;Grab Indonesia;serachien;"@serachien ""Biar makin seru makan bareng keluarga, pesen di GrabFood trus pake fitur Group Order aja Kak ?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Budi  
https://t.co/8Zxmd95Xyu """
1659139343041327106;Grab Indonesia;hayuhuuu;@hayuhuuu Cusss beli di GrabFood aja Kak?? Sekarang pake fitur Group Order, bisa jajan ramean & bebas seenaknya pilih masing2. Ada diskon s/d Rp150rb & gausah repot2 muterin HP nanyain satu-satu mau jajan apa deh xixi. Klik langsung di sini ya????-Tita https://t.co/8Zxmd95Xyu
1659138965268512770;Grab Indonesia;jalnandanze;@jalnandanze Cusss beli di GrabFood aja Kak?? Sekarang pake fitur Group Order, bisa jajan ramean & bebas seenaknya pilih masing2. Ada diskon s/d Rp150rb & gausah repot2 muterin HP nanyain satu-satu mau jajan apa deh xixi. Klik langsung di sini ya????-Tita https://t.co/8Zxmd95pIW
1659138910994448391;Grab Indonesia;ce_niisa;@ce_niisa Pesen pake Group Order di GrabFood aja Kak, pesen ramean bebas seenaknya pilihnya masing-masing! Mumpung ada diskon s/d Rp150rb nih ??. Langsung pesen di sini ya????-Tita https://t.co/8Zxmd95Xyu
1659138864353800195;Grab Indonesia;Raffi_Perdana21;@Raffi_Perdana21 Siang atau Malam gak masalah, selama pesen makannya pake Group Order di GrabFood Kak??Pesen ramean bebas seenaknya pilihnya masing-masing! Mumpung ada diskon s/d Rp150rb nih ??. Langsung pesen di sini ya????-Tita https://t.co/8Zxmd95Xyu
1659138810666467328;Grab Indonesia;clazsygirl;@clazsygirl Bingung mau ngemil apa? Ceki-ceki di GrabFood aja Kak?? Ada fitur Group Order juga, jadi bisa pesen ramean bareng sabahat atau keluarga?? Bebas seenaknya pilihnya masing-masing & diskon s/d Rp150rb loh??. Yuk lgs pesen di sini ya????-Tita https://t.co/8Zxmd95pIW
1659138761618501633;Grab Indonesia;jenoping;@jenoping Cusss langsung ceki-ceki di GrabFood aja Kak?? Beragam cemilan lengkap tersedia,  pake Group Order bisa pesen ramean bareng sabahat atau keluarga?? Bebas seenaknya pilihnya masing-masing & diskon s/d Rp150rb loh?? Yuk lgs pesen di sini ya????-Tita https://t.co/8Zxmd95Xyu
1659138714747162626;Grab Indonesia;hayuhuuu;@hayuhuuu Mau jajan banyakkk, pake fitur Group Order di GrabFood aja Kak?? Bisa bebas seenaknya pilih masing2. Apalagi ada diskon s/d Rp150rb, jajan jadi hemat & nikmat.  Klik langsung di sini ya????-Tita https://t.co/8Zxmd95Xyu
1659138623122595840;Grab Indonesia;teacup0303;"@teacup0303 ""Biar makin seru makan barengnya, pesen GrabFood trus pake fitur Group Order aja  ?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Budi  
https://t.co/8Zxmd95Xyu """
1659138569380970497;Grab Indonesia;slvruqueen;"@slvruqueen ""Kalo mau makan bareng yg pastinya bikin hemat, pesen GrabFood trus pake fitur Group Order aja  ?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Budi  
https://t.co/8Zxmd95Xyu """
1659138512522977282;Grab Indonesia;hellocola10;"@hellocola10 @NyimasLaula ""Biar ga kejadian kayak gitu lagi, kalo mau makan bareng temen, pesen di GrabFood trus pake fitur Group Order aja Kak ?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Budi  
https://t.co/8Zxmd95Xyu"""
1659138410437820417;Grab Indonesia;septianvirgie;"@septianvirgie ""Biar makin seru makan bareng keluarga, pesen di GrabFood trus pake fitur Group Order aja Kak ?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Budi  
https://t.co/8Zxmd95Xyu"""
1659138345321070600;Grab Indonesia;Ackerenlev;"@Ackerenlev ""Biar makin seru makan bareng keluarga, pesen di GrabFood trus pake fitur Group Order aja Kak ?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Budi  
https://t.co/8Zxmd95pIW """
1659138275037310977;Grab Indonesia;Ackerenlev;"@Ackerenlev @balabala3081 Kalo mau makan bareng yg pastinya bikin hemat, pesen GrabFood trus pake fitur Group Order aja  ?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Budi  
https://t.co/8Zxmd95Xyu """
1659138194242412544;Grab Indonesia;biasalaaahgitu;"@biasalaaahgitu @ikut_mendengar @sbyfess Tenang Kak, kalo mau makan bareng yg pastinya hemat, pesen GrabFood trus pake fitur Group Order aja  ?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Budi  
https://t.co/8Zxmd95Xyu """
1659138133173350403;Grab Indonesia;reifflepuff;"@reifflepuff Makin seru dan pastinya hemat kalo mau makan bareng tetangga kosan, pesen GrabFood trus pake fitur Group Order aja Kak?? Bisa bebas seenaknya pilih masing2 dan ada diskon s/d Rp150rb. Klik langsung di sini ya????-Budi  
https://t.co/8Zxmd95Xyu """
1659084513723514880;tita;;RT @bittercaffeines: Domino’$ pizza drama bgt jir masa gabisa mesen lewat grab. Giliran pake app lgsg dibikinin. Mentang2 grab ada voucher…
1659077903219302408;sekar ??;;Domino’$ pizza drama bgt jir masa gabisa mesen lewat grab. Giliran pake app lgsg dibikinin. Mentang2 grab ada voucher diskon trs gaboleh order di grab gitu? https://t.co/OU6txAwe4F
1659067098533081089;Pantai Timur Sumsel;;Kode Promo Grab Hari Ini 18 Mei 2023, Diskon GrabBike, GrabMart dan GrabCar Rp 50 ribu Pakai Debit https://t.co/3D1F38d4ux https://t.co/CkgNj4tHuI
1659048393568817153;Riririririri ??;KediriFess;@KediriFess grab bukannya diskon ya
